type,value
CLF-GFP,-0.854534861
CLF-GFP,-0.796654053
CLF-GFP,-0.4043126680000001
CLF-GFP,-0.494324423
CLF-GFP,-0.488599349
CLF-GFP,-0.33333333299999995
CLF-GFP,-0.868644068
CLF-GFP,0.100857287
CLF-GFP,2.1127708249999997
CLF-GFP,0.638411066
CLF-GFP,-1.256356566
CLF-GFP,0.42864797300000007
CLF-GFP,-0.221502811
CLF-GFP,-0.011574074
CLF-GFP,0.981800766
CLF-GFP,-0.968523002
CLF-GFP,2.018348624
CLF-GFP,0.536792664
CLF-GFP+PWO1-mCh,0.964743028
CLF-GFP+PWO1-mCh,0.568084008
CLF-GFP+PWO1-mCh,-1.232156273
CLF-GFP+PWO1-mCh,4.576856649
CLF-GFP+PWO1-mCh,-0.481722868
CLF-GFP+PWO1-mCh,0.339962604
CLF-GFP+PWO1-mCh,0.088105727
CLF-GFP+PWO1-mCh,-0.200954534
CLF-GFP+PWO1-mCh,-1.2221041449999999
CLF-GFP+PWO1-mCh,-0.890352482
CLF-GFP+PWO1-mCh,0.319608949
CLF-GFP+PWO1-mCh,1.3772954919999998
CLF-GFP+PWO1-mCh,1.227691258
CLF-GFP+PWO1-mCh,1.038961039
CLF-GFP+PWO1-mCh,0.78770169
CLF-GFP+PWO1-mCh,-0.425260472
CLF-GFP+PWO1-mCh,2.111486486
CLF-GFP+PWO1-mCh spec,-2.549626662
CLF-GFP+PWO1-mCh spec,4.596182085
CLF-GFP+PWO1-mCh spec,2.3590612149999997
CLF-GFP+PWO1-mCh spec,2.754561507
CLF-GFP+PWO1-mCh spec,-0.764299803
CLF-GFP+PWO1-mCh spec,-0.18989745500000002
CLF-GFP+PWO1-mCh spec,-1.326633166
CLF-GFP+PWO1-mCh spec,7.157774824
CLF-GFP+PWO1-mCh spec,-1.764211705
CLF-GFP+PWO1-mCh spec,0.409276944
CLF-GFP+PWO1-mCh spec,2.223389356
CLF-GFP+PWO1-mCh spec,2.2233893560000006
CLF-GFP+PWO1-mCh spec,0.029829969
CLF-GFP+PWO1-mCh spec,2.61536908
CLF-GFP+PWO1-mCh spec,3.6230732560000005
CLF-GFP+PWO1-mCh spec,4.959711031
CLF-GFP+PWO1-mCh spec,4.925187032
CLF-GFP+PWO1-mCh spec,2.7643010270000006
CLF-GFP+PWO1-mCh spec,1.051570153
PWO1-GFP,0.291245503
PWO1-GFP,7.950760319
PWO1-GFP,-0.25954198500000003
PWO1-GFP,-0.702334228
PWO1-GFP,2.447869447
PWO1-GFP,6.530989824
PWO1-GFP,1.896779885
PWO1-GFP,-1.126496128
PWO1-GFP,-5.065634466999999
PWO1-GFP,-4.692349827
PWO1-GFP,-5.948477752
PWO1-GFP,0.19769949700000003
PWO1-GFP,-2.6389147
PWO1-GFP,0.855544587
PWO1-GFP,1.8337190669999999
PWO1-GFP,-1.18072748
PWO1-GFP+UBP5-mCh spec,2.196293754
PWO1-GFP+UBP5-mCh spec,-0.275590551
PWO1-GFP+UBP5-mCh spec,-1.758366421
PWO1-GFP+UBP5-mCh spec,0.819818214
PWO1-GFP+UBP5-mCh spec,3.949345353
PWO1-GFP+UBP5-mCh spec,11.32000792
PWO1-GFP+UBP5-mCh spec,10.37373881
PWO1-GFP+UBP5-mCh spec,14.1697182
PWO1-GFP+UBP5-mCh spec,11.93520887
PWO1-GFP+UBP5-mCh spec,6.209887251
PWO1-GFP+UBP5-mCh spec,0.211081794
PWO1-GFP+UBP5-mCh spec,5.524715833999998
PWO1-GFP+UBP5-mCh spec,12.94774893
PWO1-GFP+UBP5-mCh spec,3.74322197
PWO1-GFP+UBP5-mCh spec,4.763986013999999
UBP5-GFP,-0.589663545
UBP5-GFP,0.18109977
UBP5-GFP,-0.866586054
UBP5-GFP,1.041373487
UBP5-GFP,-0.156669651
UBP5-GFP,0.35452611700000003
UBP5-GFP,-1.752955565
UBP5-GFP,-0.339827821
UBP5-GFP,-2.0064724919999994
UBP5-GFP,0.111653873
UBP5-GFP,0.214745884
UBP5-GFP,-0.44398907100000007
UBP5-GFP,0.581929556
UBP5-GFP,-0.531400966
UBP5-GFP,0.7155025549999998
UBP5-GFP+PWO1-mCh,0.785582255
UBP5-GFP+PWO1-mCh,1.388582764
UBP5-GFP+PWO1-mCh,0.972762646
UBP5-GFP+PWO1-mCh,3.152827918
UBP5-GFP+PWO1-mCh,0.997340426
UBP5-GFP+PWO1-mCh,2.6348190099999997
UBP5-GFP+PWO1-mCh,1.49750416
UBP5-GFP+PWO1-mCh spec,3.966231284
UBP5-GFP+PWO1-mCh spec,-2.362600536
UBP5-GFP+PWO1-mCh spec,5.639552464
UBP5-GFP+PWO1-mCh spec,4.806227788
UBP5-GFP+PWO1-mCh spec,10.29107981
UBP5-GFP+PWO1-mCh spec,6.873198846999999
UBP5-GFP+PWO1-mCh spec,-1.225225225
UBP5-GFP+PWO1-mCh spec,13.67198839
UBP5-GFP+PWO1-mCh spec,1.363636364
UBP5-GFP+PWO1-mCh spec,7.814009662
UBP5-GFP+PWO1-mCh spec,3.437139562
UBP5-GFP+PWO1-mCh spec,2.4751580849999995
UBP5-GFP+PWO1-mCh spec,5.071166795
UBP5-GFP+PWO1-mCh spec,8.564927678
